web-scraper-order,web-scraper-start-url,name,price,image-src
"1536626761-1491","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Mini Wireless Bluetooth 4.1 Stereo Sports Headset Earphone Handfree Earbuds MIC","$1.99 to $2.49","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1503","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","I9S TWS Wireless Bluetooth Earbud Earphone For iOS Android iphone X 9 8","$19.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1558","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","For Samsung GALAXY S6 i9800 S6 Edge Headphone Headset Earphone Original","$1.28","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1618","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Mini Wireless Ear Micro Earpiece Bluetooth Headset Earphone Cordless Car Phone","$0.99 to $3.95","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1595","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Stereo 3.5mm Piston In-Ear Earphone Headphone Remote Mic For iPhone Samsung HTC","$0.99 to $1.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1627","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Metal Stereo Headphone Bass Earphone Sport Headset Hands Free Earbuds With Mic","$0.75 to $2.54","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1536","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Wireless Bluetooth 4.0 Stereo HeadSet Handsfree Earphone For iPhone Samsung LG","$1.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1602","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","In-ear white earphone mic volume control for iphone 6 6s plus 5 5s new","$1.45","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1562","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","SAMSUNG For AKG Earphones Earbuds S9+ Note 8 S9 Galaxy Mic HEADSET Headphones","$0.71 to $1.35","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1547","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Gym Wireless Bluetooth Earbud Headset In-Ear Earphone Stereo For iPhone Android","$6.44","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
