web-scraper-order,web-scraper-start-url,name,price,image-src
"1536624640-1404","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","For Mobile Phone Phone Cases Attractive Waterproof Watertight Phone Covers GG6","$2.07","https://i.ebayimg.com/thumbs/images/m/m2QQd5Xf_wumF9lVptOX8eg/s-l225.jpg"
"1536624640-1385","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Marvel Hero Deadpool Coque Phone Covers For iPhone 5 4S 4 8 7 6 6S Plus X 10 5S","$1.93","https://i.ebayimg.com/thumbs/images/m/mUxR84_2wDAMqNw5eRFQ0Kw/s-l225.jpg"
"1536624640-1386","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Purple Ice Marple Cases Glossy Shockproof Phone Covers For iPhone 8 X 6s 7 Plus","$3.55","https://i.ebayimg.com/thumbs/images/m/mUZCUqKrOn5jm1kpSUUh1Vg/s-l225.jpg"
"1536624640-1412","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","1pc Bumper Frame Crystal Rhinestone Diamond Metal Phone Covers For iPhone 5 5s","$3.16","https://i.ebayimg.com/thumbs/images/m/mnSdmQ9XoMeMEbAXSUTxEEw/s-l225.jpg"
"1536624640-1398","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","NILLKIN Super Frosted Shield Matte Plastic Back Phone Covers Cases For OnePlus 6","$5.99","https://i.ebayimg.com/thumbs/images/m/me5N0x8WbxhYUZqZ17y6cPQ/s-l225.jpg"
"1536624640-1417","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","For Samsung Galaxy S8 Plus/S7 Hard Case Thin Shockproof Hybrid Phone Covers Skin","$1.63","https://i.ebayimg.com/thumbs/images/m/mggig5lKCvhOEkjMSwInsjg/s-l225.jpg"
"1536624640-1456","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Magnetic Flip Genuine Leather Wallet Simple Phone Covers Cases For XIAOMI MAX 2","$4.98","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536624640-1420","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","NILLKIN Super Frosted Shield Plastic Back Phone Covers Cases For XIAOMI RedMi S2","$5.99","https://i.ebayimg.com/thumbs/images/m/mxJxH7AqFNanc8ViTRYrdUQ/s-l225.jpg"
"1536624640-1445","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Pretty Dynamic Quicksand Glitter Liquid Case For Xiaomi Redmi 4A Phone Covers","$2.68","https://i.ebayimg.com/thumbs/images/m/mzDglF9Y3g7Wg1rBvyxQpwQ/s-l225.jpg"
"1536624640-1459","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Marble Patter iPhone 6 Case 6S 7 Plus 6SPlus TPU Back Phone Covers Cover Shell","$5.57","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536624640-1410","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Universal Luminous Glow in Dark Silicone TPU Phone Covers Bumper Frame Case Skin","$0.75","https://i.ebayimg.com/thumbs/images/m/mRUSn97sP2bBwJbYf1_AF5w/s-l225.jpg"
